title,boil_ingredient
Janets Brown Ale All Grain Recipe Instructions,0.5 LB Corn Sugar
SoCo Belgian Dark Strong All Grain Recipe Instructions,1 LB D-45 Candi Syrup
SoCo Belgian Dubbel All Grain Recipe Instructions,1 lb D-45 Candi Syrup
SoCo Belgian Tripel All Grain Recipe Instructions,1 lb Clear Candi Sugar
SoCo Chocolate Milk Stout All Grain Recipe Instructions,1 LB Lactose
SoCo Milk Stout All Grain Recipe Instructions,1 LB Lactose
SoCo Peppermint Chocolate Milk Stout All Grain Recipe Instructions,1 LB Lactose
SoCo Tropical Stout All Grain Recipe Instructions,1 LB Rice Syrup Solids
SoCo Vanilla Cream Porter All Grain Recipe Instructions,1 lb Lactose
Strawberry Milk Stout All Grain Recipe Instructions,1 LB Lactose
Texas Milk Stout All Grain Recipe Instructions,1 LB Lactose
Wauterss Belgian Dubbel All Grain Recipe Instructions,1 LB Clear Candi Sugar
