id,recipe_name,pdf_filename
1,22nd State Amber Ale,22nd State Amber Ale All Grain Recipe Instructions.pdf
2,A To CTZ IPA,A to CTZ IPA All Grain Recipe Instructions.pdf
4,Amberlievable Amber Ale,Amberlievable Amber Ale All Grain Recipe Instructions.pdf
5,Apollo Single Hop Pale Ale,Apollo Single Hop Pale Ale All Grain Recipe Instructions.pdf
6,Appalled Apollo IPA,Appalled Apollo IPA All Grain Recipe Instructions.pdf
7,Azacca Pale Ale,Azacca Pale Ale All Grain Recipe Instructions.pdf
8,SoCo Beans The Elf Christmas Ale,Beans The Elf Christmas Ale All Grain Recipe Instructions.pdf
9,SoCo Biscuits and Jam ESB,Biscuits and Jam ESB All Grain Recipe Instructions.pdf
11,Bitter Texan IPA,Bitter Texan IPA All Grain Recipe Instructions.pdf
12,Blackberry Witbier,Blackberry Witbier All Grain Recipe Instructions.pdf
13,Bourbon Barrel Porter,Bourbon Barrel Porter All Grain Recipe Instructions.pdf
14,British Sunset Golden Ale,British Sunset Golden Ale All Grain Recipe Instructions.pdf
15,SoCo Butler's Irish Red Ale,Butlers Irish Red Ale All Grain Recipe Instructions.pdf
16,Cashmere Blonde Ale,Cashmere Blonde Ale All Grain Recipe Instructions.pdf
17,Chinook IPA,Chinook IPA All Grain Recipe Instructions.pdf
18,Christmas Porter,Christmas Porter All Grain Recipe Instructions.pdf
19,Cluster SMaSH Pale Ale,Cluster SMaSH Pale Ale All Grain Recipe Instructions.pdf
20,Coconut Hefeweizen,Coconut Hefeweizen All Grain Recipe Instructions.pdf
21,Cruisin Canoe IPA,Cruisin Canoe IPA All Grain Recipe Instructions.pdf
22,Dark Chocolate Strawberry Stout,Dark Chocolate Strawberry Stout All Grain Recipe Instructions.pdf
23,Dillo Trolley Pale Ale,Dillo Trolley Pale Ale All Grain Recipe Instructions.pdf
24,Dry Hop Blonde Ale,Dry Hop Blonde Ale All Grain Recipe Instructions.pdf
25,Dunkles Bock,Dunkles Bock All Grain Recipe Instructions.pdf
26,Elani Pale Ale,Elani Pale Ale All Grain Recipe Instructions.pdf
27,English Pale Ale,English Pale Ale All Grain Recipe Instructions.pdf
28,Frayed Aglet IPA,Frayed Aglet IPA All Grain Recipe Instructions.pdf
29,Fruity McCutie Juicy IPA (NEIPA),Fruity McCutie Juicy IPA All Grain Recipe Sheet.pdf
30,SoCo Glaring Grackle Imperial Stout,Glaring Grackle Imperial Stout All Grain Recipe Instructions.pdf
31,Granite Dome Oat Stout,Granite Dome Oat Stout All Grain Recipe Instructions.pdf
33,Imperial Bourbon Barrel Chocolate Stout,Imperial Bourbon Barrel Chocolate Stout All Grain Recipe Instructions.pdf
