recipe_name,grains,bittering_hops,flavor_hops,aroma_hops,original_sg,yeast,dry_hops,final_sg,flavoring
22nd State Amber Ale,"9 LB Pale Malt
6 oz Munich Malt
12 oz Crystal 80L Malt
2 oz Chocolate Malt",1 oz Cluster Hops,0.5 oz Willamette Hops,0.5 oz Willamette Hops,1.051,"White Labs California Ale V 051
Wyeast American Ale II 1272
Dry Yeast SafAle US-05",NA,1.012,NA
A To CTZ IPA,"11 LB 2 Row Malt
1 LB Munich Malt
1 LB Crystal 20L","0.5 oz CTZ Hops
0.25 oz Apollo Hops","0.25 oz CTZ Hops
0.5 oz Apollo Hops","0.25 oz CTZ Hops
0.25 oz Apollo Hops",1.064,"White Labs California Ale 001
Wyeast American Ale 1056
Dry Yeast American West Coast BRY-97","1 oz Apollo Hops
1 oz Amarillo Hops",1.014,NA
Single Hop Series Amarillo Pale Ale,"9 LB Pale Malt
12 oz Crystal 40L Malt
6 oz Carapils Malt",1 oz Amarillo Hops,0.25 oz Amarillo Hops,0.75 oz Amarillo Hops,1.050,"White Labs California Ale 001
Wyeast American Ale 1056
Dry Yeast American West Coast BRY-97",NA,1.011,NA
Amberlievable Amber Ale,"8.5 LB Pale Ale Malt
1 LB Vienna Malt
12 oz Crystal 80L
6 oz Victory Malt
2 oz Black Malt",1 oz Cascade Hops,0.5 oz Motueka Hops,0.5 oz Motueka Hops,1.052,"White Labs California Ale 001
Wyeast American Ale 1056
Dry Yeast American West Coast BRY-97",NA,1.011,NA
Apollo Single Hop Pale Ale,"9.5 LB Pale Malt
6 oz Crystal 80L Malt
6 oz Carapils",0.5 oz Apollo Hops,0.25 oz Apollo Hops,0.25 oz Apollo Hops,1.051,"White Labs California Ale 001
Wyeast American Ale 1056
Dry Yeast American West Coast BRY-97",NA,1.011,NA
Appalled Apollo IPA,"10.75 LB 2 Row Malt
1 LB Crystal 60L
1 LB Vienna Malt
8 oz Carafoam
4 oz Biscuit Malt",0.75 oz Apollo Hops,"0.5 oz Apollo Hops
0.5 oz Amarillo Hops","0.25 oz Apollo Hops
0.5 oz Amarillo Hops",1.069,"White Labs California Ale 001
Wyeast American Ale 1056
Dry Yeast American West Coast BRY-97",1 oz Amarillo Hops,1.012,NA
Azacca Pale Ale,"9.25 LB Pale Malt
12 oz White Wheat Malt
4 oz Crystal 80L",0.25 oz Azacca Hops,1 oz Azacca Hops,0.75 oz Azacca Hops,1.051,"White Labs California Ale 001
Wyeast American Ale 1056
Dry Yeast SafAle US-05",NA,1.011,NA
SoCo Beans The Elf Christmas Ale,"10.75 LB Maris Otter Malt
1 LB Crystal 80L
6 oz Special Roast
4 oz Pale Chocolate Malt",1 oz Northern Brewer Hops,"1 oz Northern Brewer Hops
0.5 oz Ginger Root",NA,1.063,"White Labs London Ale 013
Wyeast London Ale 1028
Dry Yeast Lallemand Nottingham Ale",NA,1.017,NA
SoCo Biscuits and Jam ESB,"9.5 LB Maris Otter
1 LB Biscuit Malt
12 oz Crystal 80L
6 oz Special B",1.5 oz East Kent Golding Hops,0.5 oz Kent Golding Hops,0.5 oz Kent Golding Hops,1.059,"White Labs British Ale 005
Wyeast London Ale III 1318
Dry Yeast SafAle S04",NA,1.016,4 oz Raspberry Flavoring
Bitter Butler Best Bitter,"7.5 LB Pale Malt
1 LB English Light Crystal
3 oz Chocolate Malt",1.25 oz Willamette Hops,0.75 oz Willamette Hops,1 oz Willamette Hops,1.043,"White Labs London Ale 013
Wyeast London Ale 1028
Dry Yeast Windsor Ale",NA,1.010,NA
